description,difficulty,reward
Retrieve lost equipment from a malfunctioning orbital research platform,2,1990
Escort a scientific expedition to a remote asteroid field,2,1990
Clear out space debris from a critical orbital lane,2,2010
Assist in the repair of a damaged orbital defense platform,2,2020
Escort a research team to a remote asteroid field,2,2060
Escort cargo ships through a known pirate-infested sector,3,9180
Retrieve valuable data from a crashed probe,3,9200
Investigate anomalies in a nebula,3,9430
Assist in repairing a malfunctioning space station,3,9450
Neutralize rogue AI drones,3,9520
Explore a new system,3,9570
Find lost artifacts on Moon Alpha,3,9580
Rescue stranded astronauts from a derelict spaceship,3,9590
Protect a convoy from pirate attacks,3,10010
Locate and retrieve a lost artifact from an abandoned ruin,3,10080
Investigate mysterious signals in Asteroid Belt Beta,3,10180
Repair a damaged communication relay satellite in orbit around a moon,4,12200
Assist in repairing a malfunctioning hyperspace navigation computer,4,12900
Assist in repairing a damaged orbital defense platform,4,12960
Provide escort for a scientific expedition studying a nearby nebula,4,13070
Defeat space pirates,4,13230
Escort a convoy of civilian ships through a dangerous asteroid field,4,13540
Investigate reports of strange energy readings near a black hole,4,14070
Dangerous mission,4,14200
Escort a VIP through dangerous territory,5,16330
Infiltrate a heavily guarded enemy base and retrieve classified data,5,16520
Navigate through a dangerous asteroid field to rescue a stranded ship,5,17040
Survey a newly discovered wormhole,5,17170
Extract rare minerals from an unstable asteroid,5,17370
Clear out hostile alien nests on Planet Zeta,5,17780
Rescue a research team stranded on a hostile moon,5,18590
Neutralize a notorious space pirate leader and dismantle their operation,6,22680
Survive an ambush by hostile alien forces and escape with valuable technology,6,23090
Explore the depths of a forbidden sector and uncover ancient alien secrets,6,24170
Retrieve a powerful artifact from a hidden temple guarded by ancient traps,6,24350
Navigate through a dangerous wormhole and emerge in uncharted territory,6,24810
Assassinate a high-ranking enemy official to disrupt their plans,6,25380
Rescue a Key Political Figure from an Enemy Prison,7,28990
Locate the Lost City of the Ancients,7,29220
Liberate a Rebellious Planet,7,31560
Uncover the Secrets of a Forbidden Zone,7,32500
Defend a besieged space station against a massive alien invasion,7,33090
Conduct a daring heist on a heavily fortified intergalactic bank,8,38310
Break the Enemy's Hyperspace Network,8,39650
Destroy the Enemy's Quantum Research Facility,8,40180
Steal the Galactic Treaty,8,42780
Prevent the Launch of a Doomsday Device,9,51370
Defeat the Ancient AI,9,53980
Infiltrate the Enemy's Superweapon Facility,9,55340
Assassinate the Supreme Commander of the Enemy Fleet,10,71000
Destroy the Heart of the Swarm,10,72470
Steal the Enemy's Battle Plans,11,95840
Capture an Enemy Scientist Working on a Superweapon,12,287910
Destroy the Enemy's Planetary Defense Grid,13,328160
Rescue a Renegade Scientist from a Black Hole Prison,14,394290
Sabotage the Enemy's Terraforming Project,15,516410
Recover a Lost Artifact from a Time-Locked Dimension,16,689900
Hijack an Enemy Flagship in Hyperspace,17,886260
Disable the Enemy's Cloaking Field Generator,18,1199620
Secure a Truce with the Alien Warlord,19,1442370
Expose a Spy Ring within the Galactic Senate,20,1874130
